Codedinfraction;Datecreationevn;Datefermeture;DateDebutInfraction;Anneedinfraction;Moisdinfraction;Direction;Secteurlot;Numerodevenement;equipe;Heuredebut;montantDommage;InscriptionauMIP;Codemunicipal;Nombredepersonnesaudossier;Nombredevehiculesaudossier;Numerocivique;Province;Typederue2;Typederue;Rue;Rue2;Anneeenrg.Dossier;Moisenrg.Dossier;Dateenrg.Dossier;PDQ;Vehicule-annee;Vehiculecouleur1;Vehiculegenre;Province_1;Vehicule-style;Vehicule-compagnieassurance;Vehicule-marque;Vehicule-modele;Vehicule-description
Collisionmateriellede+de2000;01/08/2015;02/08/2015;01/08/2015;2015;8;AB12;35;LVL150801023;2;03:24:00;35;02/08/2015;65005;3;3;0;QUE;BOULEV;BOULEV;CHOMEDEY;SAINT-MARTINOUEST;2015;8;1;PDQ3;;;CAMIO;QUE;;;HIN;2014;Moyen
Collisionmateriellede+de2000;01/08/2015;02/08/2015;01/08/2015;2015;8;CE25;35;LVL150801023;2;03:24:00;35;02/08/2015;65005;3;3;0;QUE;BOULEV;BOULEV;CHOMEDEY;SAINT-MARTINOUEST;2015;8;1;PDQ3;2008;;REMO;QUE;;;CARG;CE82;Moyen
Collisionmateriellede+de2000;01/08/2015;02/08/2015;01/08/2015;2015;8;DH37;35;LVL150801023;2;03:24:00;35;02/08/2015;65005;3;3;0;QUE;BOULEV;BOULEV;CHOMEDEY;SAINT-MARTINOUEST;2015;8;1;PDQ3;2013;;AUTO;QUE;;;TOYO;CORO;Moyen
Collisionavecblesse;30/07/2015;31/07/2015;30/07/2015;2015;7;AB13;28;LVL150730051;3;;28;31/07/2015;65005;2;2;2220;QUE;;RUE;VALLIERES;;2015;7;30;PDQ2;2000;;AUTO;QUE;;;HYUN;;Moyen
Collisionavecblesse;30/07/2015;31/07/2015;30/07/2015;2015;7;CE26;28;LVL150730051;3;;28;31/07/2015;65005;2;2;2220;QUE;;RUE;VALLIERES;;2015;7;30;PDQ2;2007;;AUTO;QUE;;;TOYO;;Moyen
Collisionavecblesse;30/07/2015;31/07/2015;30/07/2015;2015;7;DH38;61;LVL150730060;4;15:48:00;61;31/07/2015;65005;2;2;1983;QUE;;BOULEV;DESLAURENTIDES;;2015;7;30;PDQ6;2014;;AUTO;QUE;;;TOYO;YARI;Moyen
Collisionavecblesse;30/07/2015;31/07/2015;30/07/2015;2015;7;AB14;31;LVL150730030;3;;31;31/07/2015;65005;3;2;1300;QUE;;BOULEV;DELACONCORDEOUEST;;2015;7;30;PDQ2;2005;;AUTO;QUE;;;NISS;;Moyen
Collisionavecblesse;30/07/2015;31/07/2015;30/07/2015;2015;7;CE27;61;LVL150730060;4;15:48:00;61;31/07/2015;65005;2;2;1983;QUE;;BOULEV;DESLAURENTIDES;;2015;7;30;PDQ6;2002;;MOTO;QUE;;;HOND;CB90;Moyen
Collisionavecblesse;30/07/2015;31/07/2015;30/07/2015;2015;7;DH39;31;LVL150730030;3;;31;31/07/2015;65005;3;2;1300;QUE;;BOULEV;DELACONCORDEOUEST;;2015;7;30;PDQ2;1997;;AUTO;QUE;;;MAZD;;Moyen
DelitdefuiteCSR;28/07/2015;30/07/2015;28/07/2015;2015;7;AB15;61;LVL150728038;1;11:30:00;61;30/07/2015;65005;2;1;0;QUE;VOIE;BOULEV;DESLAURENTIDES;LAVALOUESTA-440;2015;7;28;PDQ6;;;;;;;;;
Collisionmateriellede2000et-;28/07/2015;29/07/2015;28/07/2015;2015;7;CE28;52;LVL150728002;5;20:45:00;52;29/07/2015;65005;3;2;0;QUE;BOULEV;VOIE;LAVALOUESTA-440;CHOMEDEY;2015;7;28;PDQ5;2004;;AUTO;QUE;;;MAZD;;Moyen
Collisionavecblesse;28/07/2015;31/07/2015;28/07/2015;2015;7;DH40;59;LVL150728019;1;10:47:00;59;31/07/2015;65005;3;1;0;QUE;RUE;BOULEV;SAINTE-ROSE;MATTAWA;2015;7;28;PDQ5;2009;;CAMIO;QUE;;;FORD;;Moyen
Collisionmateriellede2000et-;28/07/2015;29/07/2015;28/07/2015;2015;7;AB16;52;LVL150728002;5;20:45:00;52;29/07/2015;65005;3;2;0;QUE;BOULEV;VOIE;LAVALOUESTA-440;CHOMEDEY;2015;7;28;PDQ5;2008;;CAMIO;QUE;;;EONE;;Moyen
Collisionavecblesse;27/07/2015;28/07/2015;27/07/2015;2015;7;CE29;28;LVL150727097;2;23:22:00;28;30/07/2015;65005;2;2;0;QUE;AUTORO;BOULEV;DESLAURENTIDES;LAVALESTA-440;2015;7;27;PDQ2;2006;;AUTO;QUE;;;BMW;;Moyen
Collisionavecblesse;27/07/2015;28/07/2015;27/07/2015;2015;7;DH41;28;LVL150727097;2;23:22:00;28;30/07/2015;65005;2;2;0;QUE;AUTORO;BOULEV;DESLAURENTIDES;LAVALESTA-440;2015;7;27;PDQ2;2014;;AUTO;QUE;;;KIA;;Moyen
Collisionavecblesse;27/07/2015;29/07/2015;27/07/2015;2015;7;AB17;14;LVL150727075;;17:30:00;14;29/07/2015;65005;2;2;0;QUE;RUE;BOULEV;DESMILLE-ILES;BISSON;2015;7;27;PDQ1;2003;;MOTO;QUE;;LaCapitale;yama;;Moyen
Collisionmortelle;27/07/2015;;27/07/2015;2015;7;CE30;25;LVL150727089;2;19:41:00;25;30/07/2015;65005;7;2;0;QUE;VIADUC;BOULEV;SAINT-MARTINEST;PAPINEAUA-19;2015;7;27;PDQ2;2001;BLA;AUTO;QUE;4PORT;;HOND;CIVI;Moyen
Collisionmortelle;27/07/2015;;27/07/2015;2015;7;DH42;25;LVL150727089;2;19:41:00;25;30/07/2015;65005;7;2;0;QUE;VIADUC;BOULEV;SAINT-MARTINEST;PAPINEAUA-19;2015;7;27;PDQ2;2002;ROU;AUTO;QUE;4PORT;;TOYO;ECHO;Moyen
Collisionavecblesse;27/07/2015;29/07/2015;27/07/2015;2015;7;AB18;14;LVL150727075;;17:30:00;14;29/07/2015;65005;2;2;0;QUE;RUE;BOULEV;DESMILLE-ILES;BISSON;2015;7;27;PDQ1;2012;;MOTO;QUE;;LaCapitale;harl;;Moyen
Collisionmateriellede2000et-;26/07/2015;27/07/2015;26/07/2015;2015;7;CE31;42;LVL150726014;5;03:33:00;42;27/07/2015;65005;2;1;0;QUE;MONTEE;AVENUE;DESBOIS;CHAMPAGNE;2015;7;26;PDQ4;1995;;CAMIO;QUE;;;INTE;;Moyen
Collisionavecblesse;26/07/2015;29/07/2015;26/07/2015;2015;7;DH43;23;LVL150726042;3;18:15:00;23;29/07/2015;65005;3;1;0;QUE;BOULEV;AVENUE;12E;DELACONCORDEOUEST;2015;7;26;PDQ2;2013;;AUTO;QUE;;;HYUN;;Moyen
DelitdefuiteCSR;26/07/2015;31/07/2015;26/07/2015;2015;7;AB19;32;LVL150726018;5;;32;31/07/2015;65005;1;1;0;QUE;BOULEV;AVENUE;67E;CARTIEROUEST;2015;7;26;PDQ3;;;;;;;;;
Collisionavecblesse;26/07/2015;29/07/2015;26/07/2015;2015;7;CE32;27;LVL150726010;5;01:55:00;27;29/07/2015;65005;1;1;0;QUE;AUTORO;BOULEV;PIE-IX;LAVALESTA-440;2015;7;26;PDQ1;2005;;AUTO;QUE;;;HYUN;;Moyen
Collisionavecblesse;26/07/2015;29/07/2015;26/07/2015;2015;7;DH44;55;LVL150726040;3;16:27:00;55;29/07/2015;65005;2;1;0;QUE;RUE;BOULEV;DESOISEAUX;DUROUGE-GORGE;2015;7;26;PDQ5;2009;;AUTO;QUE;;;HYUN;;Moyen
Collisionavecblesse;25/07/2015;26/07/2015;25/07/2015;2015;7;AB20;62;LVL150725049;1;14:51:00;62;27/07/2015;65005;1;1;1895;QUE;;BOULEV;RENE-LAENNEC;;2015;7;25;PDQ6;2002;;AUTO;QUE;;;CHEV;CAVA;Moyen
Collisionmateriellede+de2000;25/07/2015;30/07/2015;25/07/2015;2015;7;CE33;33;LVL150725036;;11:45:00;33;30/07/2015;65005;5;3;0;QUE;AVENUE;BOULEV;LEVESQUEOUEST;DENONVILLE;2015;7;25;PDQ3;2006;;AUTO;QUE;;;PORS;;Moyen
Collisionmateriellede+de2000;25/07/2015;30/07/2015;25/07/2015;2015;7;DH45;33;LVL150725036;;11:45:00;33;30/07/2015;65005;5;3;0;QUE;AVENUE;BOULEV;LEVESQUEOUEST;DENONVILLE;2015;7;25;PDQ3;2009;;AUTO;QUE;;;mazd;;Moyen
DelitdefuiteCSR;25/07/2015;30/07/2015;24/07/2015;2015;7;AB21;41;LVL150725029;;21:00:00;41;30/07/2015;65005;2;1;648;QUE;;RUE;RABIS;;2015;7;25;PDQ4;;;;;;;;;
Collisionmateriellede+de2000;25/07/2015;30/07/2015;25/07/2015;2015;7;CE34;33;LVL150725036;;11:45:00;33;30/07/2015;65005;5;3;0;QUE;AVENUE;BOULEV;LEVESQUEOUEST;DENONVILLE;2015;7;25;PDQ3;2006;;AUTO;QUE;;;pont;;Moyen
Collisionavecblesse;25/07/2015;26/07/2015;25/07/2015;2015;7;DH46;37;LVL150725024;1;07:39:00;37;26/07/2015;65005;2;1;0;QUE;BOULEV;BOULEV;SAINT-MARTINOUEST;TESSIER;2015;7;25;PDQ3;2007;;AUTO;QUE;;;HYUN;;Moyen
Collisionmateriellede+de2000;25/07/2015;25/07/2015;25/07/2015;2015;7;AB22;21;LVL150725030;1;09:58:00;21;25/07/2015;65005;2;2;230;QUE;;BOULEV;DESLAURENTIDES;;2015;7;25;PDQ2;2002;;AUTO;QUE;;INTACTASSURANCE;HOND;CIVI;Moyen
Collisionmateriellede+de2000;25/07/2015;25/07/2015;25/07/2015;2015;7;CE35;21;LVL150725030;1;09:58:00;21;25/07/2015;65005;2;2;230;QUE;;BOULEV;DESLAURENTIDES;;2015;7;25;PDQ2;2003;;AUTO;QUE;;;PONT;SUNF;Moyen
Collisionmateriellede+de2000;24/07/2015;27/07/2015;24/07/2015;2015;7;DH47;41;LVL150724098;3;21:41:00;41;27/07/2015;65005;3;2;973;QUE;;RUE;DONAT-BELISLE;;2015;7;24;PDQ4;2014;;MOTO;QUE;;;KTM;ADVE;Moyen
Collisionmateriellede+de2000;24/07/2015;25/07/2015;24/07/2015;2015;7;AB23;22;LVL150724102;3;22:46:00;22;25/07/2015;65005;2;2;389;QUE;;RUE;DEBERRI;;2015;7;24;PDQ2;2009;;AUTO;QUE;;DESJARDINS;MAZD;;Moyen
Collisionmateriellede+de2000;24/07/2015;25/07/2015;24/07/2015;2015;7;CE36;22;LVL150724102;3;22:46:00;22;25/07/2015;65005;2;2;389;QUE;;RUE;DEBERRI;;2015;7;24;PDQ2;2012;;REMO;QUE;;;ARTI;;Moyen
Collisionavecblesse;24/07/2015;26/07/2015;24/07/2015;2015;7;DH48;12;LVL150724053;2;11:52:00;12;26/07/2015;65005;3;1;0;QUE;RUE;RUE;CHARTRAND;LEA;2015;7;24;PDQ1;2013;;CAMIO;QUE;;;JEEP;;Moyen
Collisionavecblesse;24/07/2015;25/07/2015;24/07/2015;2015;7;AB24;35;LVL150724096;3;20:49:00;35;25/07/2015;65005;5;2;0;QUE;AVENUE;BOULEV;SAINT-MARTINOUEST;DIENA;2015;7;24;PDQ3;2014;;AUTO;QUE;;INTACTASSURANCE;DODG;;Moyen
Collisionavecblesse;24/07/2015;25/07/2015;24/07/2015;2015;7;CE37;35;LVL150724096;3;20:49:00;35;25/07/2015;65005;5;2;0;QUE;AVENUE;BOULEV;SAINT-MARTINOUEST;DIENA;2015;7;24;PDQ3;2008;;AUTO;QUE;;BELAIRDIRECT;AUDI;;Moyen
Collisionavecblesse;24/07/2015;26/07/2015;24/07/2015;2015;7;DH49;29;LVL150724012;5;04:50:00;29;28/07/2015;65005;4;2;3900;QUE;;VOIE;LAVALESTA-440;;2015;7;24;PDQ2;2015;;AUTRE;QUE;;;JOHN;DEE;Moyen
Collisionavecblesse;24/07/2015;26/07/2015;24/07/2015;2015;7;AB25;29;LVL150724012;5;04:50:00;29;28/07/2015;65005;4;2;3900;QUE;;VOIE;LAVALESTA-440;;2015;7;24;PDQ2;2015;;AUTO;QUE;;;VOLK;JETT;Moyen
Collisionmateriellede+de2000;24/07/2015;27/07/2015;24/07/2015;2015;7;CE38;41;LVL150724098;3;21:41:00;41;27/07/2015;65005;3;2;973;QUE;;RUE;DONAT-BELISLE;;2015;7;24;PDQ4;2007;;AUTO;QUE;;;MAZD;;Moyen
Collisionavecblesse;24/07/2015;25/07/2015;24/07/2015;2015;7;DH50;41;LVL150724082;3;16:57:00;41;25/07/2015;65005;3;1;0;QUE;RUE;BOULEV;NOTRE-DAME;TOUSSAINT;2015;7;24;PDQ4;2011;;AUTO;QUE;;SSQASSURANCES;LINC;;Moyen
Collisionavecblesse;23/07/2015;26/07/2015;23/07/2015;2015;7;AB26;47;LVL150723050;2;14:30:00;47;26/07/2015;65005;4;1;0;QUE;AVENUE;BOULEV;SAINTE-ROSE;40E;2015;7;23;PDQ4;2005;;AUTO;QUE;;;KIA;;Moyen
Collisionavecblesse;23/07/2015;28/07/2015;23/07/2015;2015;7;CE39;15;LVL150723067;3;17:30:00;15;30/07/2015;65005;3;2;6310;QUE;;BOULEV;DESMILLE-ILES;;2015;7;23;PDQ1;2015;;AUTO;QUE;;MELOCHEMONEX;volk;jett;Moyen
Collisionavecblesse;23/07/2015;28/07/2015;23/07/2015;2015;7;DH51;15;LVL150723067;3;17:30:00;15;30/07/2015;65005;3;2;6310;QUE;;BOULEV;DESMILLE-ILES;;2015;7;23;PDQ1;1997;;AUTO;QUE;;;PONT;SUNF;Moyen
DelitdefuiteCSR;23/07/2015;30/07/2015;22/07/2015;2015;7;AB27;41;LVL150723024;;18:00:00;41;30/07/2015;65005;1;1;805;QUE;;RUE;LAUZON;;2015;7;23;PDQ4;;;;;;;;;
Collisionmateriellede2000et-;22/07/2015;22/07/2015;22/07/2015;2015;7;CE40;12;LVL150722019;4;08:15:00;12;22/07/2015;65005;2;1;8250;QUE;;RUE;PHEDRE;;2015;7;22;PDQ1;2012;;CAMIO;QUE;;INTACT;kenw;;Grand
Collisionavecblesse;22/07/2015;23/07/2015;22/07/2015;2015;7;DH52;36;LVL150722065;1;20:20:00;36;23/07/2015;65005;1;1;1081;QUE;;RUE;MACDONALD;;2015;7;22;PDQ3;2001;;MOTO;QUE;;;SUZU;;Moyen
DelitdefuiteCSR;22/07/2015;23/07/2015;22/07/2015;2015;7;AB28;38;LVL150722003;4;;38;31/07/2015;65005;1;1;2800;QUE;;AVENUE;DUCOSMODOME;;2015;7;22;PDQ3;;;;;;;;;
Collisionavecblesse;21/07/2015;23/07/2015;21/07/2015;2015;7;CE41;51;LVL150721069;1;18:30:00;51;24/07/2015;65005;3;2;0;QUE;BOULEV;MONTEE;SAINT-AUBIN;SAINT-ELZEAROUEST;2015;7;21;PDQ3;2010;;AUTO;QUE;;;NISS;;Moyen
Collisionmateriellede2000et-;21/07/2015;24/07/2015;21/07/2015;2015;7;DH53;33;LVL150721017;5;08:48:00;33;24/07/2015;65005;4;2;0;QUE;RUE;BOULEV;SAMSON;2E;2015;7;21;PDQ3;2007;;AUTO;QUE;;;HOND;;Moyen
Collisionmateriellede2000et-;21/07/2015;24/07/2015;21/07/2015;2015;7;AB29;33;LVL150721017;5;08:48:00;33;24/07/2015;65005;4;2;0;QUE;RUE;BOULEV;SAMSON;2E;2015;7;21;PDQ3;2012;;CAMIO;QUE;;;MACK;;Moyen
Collisionavecblesse;21/07/2015;22/07/2015;21/07/2015;2015;7;CE42;33;LVL150721060;1;15:45:00;33;22/07/2015;65005;2;1;0;QUE;BOULEV;PROMEN;DESILES;LEVESQUEOUEST;2015;7;21;PDQ3;2009;;AUTO;QUE;;INTACTASSURANCE;TOYO;;Moyen
Collisionavecblesse;21/07/2015;23/07/2015;21/07/2015;2015;7;DH54;51;LVL150721069;1;18:30:00;51;24/07/2015;65005;3;2;0;QUE;BOULEV;MONTEE;SAINT-AUBIN;SAINT-ELZEAROUEST;2015;7;21;PDQ3;2014;;AUTO;QUE;;;CHEV;CRUZ;Moyen
Collisionmateriellede+de2000;21/07/2015;;21/07/2015;2015;7;AB30;52;LVL150721002;4;00:20:00;52;23/07/2015;65005;4;2;0;QUE;BOULEV;BOULEV;CURE-LABELLE;GABRIEL;2015;7;21;PDQ5;2013;;AUTO;QUE;;;CHRY;300;Moyen
Collisionmateriellede+de2000;21/07/2015;;21/07/2015;2015;7;CE43;52;LVL150721002;4;00:20:00;52;23/07/2015;65005;4;2;0;QUE;BOULEV;BOULEV;CURE-LABELLE;GABRIEL;2015;7;21;PDQ5;2003;;AUTO;QUE;;;HYUN;TIBU;Moyen
Collisionmateriellede+de2000;21/07/2015;22/07/2015;21/07/2015;2015;7;DH55;37;LVL150721018;5;09:00:00;37;22/07/2015;65005;3;1;0;QUE;BOULEV;AUTORO;LAVALOUESTA-440;INDUSTRIEL;2015;7;21;PDQ3;2010;;AUTO;QUE;;ATTESTATIONSOLVABILITE;FORD;CROW;Moyen
Collisionavecblesse;21/07/2015;24/07/2015;21/07/2015;2015;7;AB31;64;LVL150721035;5;11:50:00;64;24/07/2015;65005;3;2;5220;QUE;;BOULEV;DESLAURENTIDES;;2015;7;21;PDQ6;2001;;AUTO;QUE;;;TOYO;;Moyen
Collisionavecblesse;21/07/2015;24/07/2015;21/07/2015;2015;7;CE44;64;LVL150721035;5;11:50:00;64;24/07/2015;65005;3;2;5220;QUE;;BOULEV;DESLAURENTIDES;;2015;7;21;PDQ6;2004;;MOTO;QUE;;;YAMA;;Moyen
Collisionmateriellede2000et-;20/07/2015;28/07/2015;05/07/2015;2015;7;DH56;21;LVL150720007;5;23:40:00;21;28/07/2015;65005;3;1;0;QUE;BOULEV;BOULEV;CARTIEROUEST;DESLAURENTIDES;2015;7;20;PDQ2;2011;BLA;AUTO;QUE;;ATTESTATIONSOLVABILITE;FORD;;Moyen
Collisionavecblesse;20/07/2015;24/07/2015;20/07/2015;2015;7;AB32;34;LVL150720011;5;07:42:00;34;24/07/2015;65005;2;2;0;QUE;BOULEV;BOULEV;LECORBUSIER;SAINT-MARTINOUEST;2015;7;20;PDQ2;2014;;AUTO;QUE;;;TOYO;;Moyen
Collisionavecblesse;20/07/2015;24/07/2015;20/07/2015;2015;7;CE45;34;LVL150720011;5;07:42:00;34;24/07/2015;65005;2;2;0;QUE;BOULEV;BOULEV;LECORBUSIER;SAINT-MARTINOUEST;2015;7;20;PDQ2;2007;;AUTO;QUE;;;FORD;;Moyen
Collisionavecblesse;19/07/2015;;19/07/2015;2015;7;DH57;24;LVL150719062;5;22:39:00;24;31/07/2015;65005;3;3;0;QUE;BOULEV;BOULEV;SAINT-MARTINEST;DESLAURENTIDES;2015;7;19;PDQ2;2006;BLU;AUTO;QUE;;;DODG;MAGN;Moyen
DelitdefuiteCSR;19/07/2015;20/07/2015;19/07/2015;2015;7;AB33;48;LVL150719049;2;17:17:00;48;20/07/2015;65005;1;1;0;QUE;RUE;RANG;SAINT-ANTOINE;PRINCIPALE;2015;7;19;PDQ4;;;;;;;;;
Collisionmateriellede2000et-;19/07/2015;23/07/2015;19/07/2015;2015;7;CE27;67;LVL150719061;2;22:06:00;67;23/07/2015;65005;3;1;0;QUE;RUE;AVENUE;DESPERRON;SAINT-SAENSEST;2015;7;19;PDQ6;2014;;AUTO;QUE;;;HYUN;;Moyen
Collisionmateriellede+de2000;19/07/2015;30/07/2015;19/07/2015;2015;7;DH39;41;LVL150719035;;15:10:00;41;30/07/2015;65005;5;3;0;QUE;AUTORO;BOULEV;SAMSON;CHOMEDEYA-13;2015;7;19;PDQ4;2014;;AUTO;QUE;;;bmw;;Moyen
Collisionmateriellede+de2000;19/07/2015;30/07/2015;19/07/2015;2015;7;AB15;41;LVL150719035;;15:10:00;41;30/07/2015;65005;5;3;0;QUE;AUTORO;BOULEV;SAMSON;CHOMEDEYA-13;2015;7;19;PDQ4;2013;;AUTO;QUE;;;chev;;Moyen
Collisionmateriellede+de2000;19/07/2015;30/07/2015;19/07/2015;2015;7;CE28;41;LVL150719035;;15:10:00;41;30/07/2015;65005;5;3;0;QUE;AUTORO;BOULEV;SAMSON;CHOMEDEYA-13;2015;7;19;PDQ4;2006;;AUTO;QUE;;;mazd;;Moyen
Collisionmateriellede+de2000;19/07/2015;23/07/2015;19/07/2015;2015;7;DH40;32;LVL150719058;2;20:44:00;32;24/07/2015;65005;3;2;0;QUE;AVENUE;BOULEV;CURE-LABELLE;80E;2015;7;19;PDQ3;2015;;AUTO;QUE;;;MERC;;Moyen
Collisionmateriellede+de2000;19/07/2015;23/07/2015;19/07/2015;2015;7;AB16;32;LVL150719058;2;20:44:00;32;24/07/2015;65005;3;2;0;QUE;AVENUE;BOULEV;CURE-LABELLE;80E;2015;7;19;PDQ3;2004;;AUTO;QUE;;;VOLV;;Moyen
Collisionmateriellede+de2000;19/07/2015;20/07/2015;19/07/2015;2015;7;CE29;52;LVL150719023;5;10:48:00;52;31/07/2015;65005;2;1;0;QUE;BOULEV;VOIE;DESLAURENTIDESA-15;DAGENAISOUEST;2015;7;19;PDQ5;2010;;AUTO;QUE;;LUNIQUEASSURANCE;HYUN;;Moyen
Collisionavecblesse;19/07/2015;;19/07/2015;2015;7;DH41;24;LVL150719062;5;22:39:00;24;31/07/2015;65005;3;3;0;QUE;BOULEV;BOULEV;SAINT-MARTINEST;DESLAURENTIDES;2015;7;19;PDQ2;2013;BLA;AUTO;QUE;;;VOLK;GOLF;Moyen
Collisionavecblesse;19/07/2015;;19/07/2015;2015;7;AB17;24;LVL150719062;5;22:39:00;24;31/07/2015;65005;3;3;0;QUE;BOULEV;BOULEV;SAINT-MARTINEST;DESLAURENTIDES;2015;7;19;PDQ2;2005;;AUTO;QUE;;;CHEV;OPTR;Moyen
Collisionavecblesse;19/07/2015;20/07/2015;19/07/2015;2015;7;CE30;56;LVL150719033;5;15:09:00;56;30/07/2015;65005;2;1;0;QUE;BOULEV;BOULEV;CURE-LABELLE;DELARENAISSANCE;2015;7;19;PDQ5;2009;;AUTO;QUE;;INTACTASSURANCE;NISS;SENT;Moyen
Collisionavecblesse;18/07/2015;18/07/2015;18/07/2015;2015;7;DH42;24;LVL150718017;5;07:50:00;24;18/07/2015;65005;3;2;421;QUE;;BOULEV;GOINEAU;;2015;7;18;PDQ2;2012;;MOTO;QUE;;BELAIRDIRECT;YAMA;;Moyen
DelitdefuiteCSR;18/07/2015;18/07/2015;18/07/2015;2015;7;AB18;21;LVL150718010;4;;21;18/07/2015;65005;2;1;0;QUE;BOULEV;BOULEV;CARTIEREST;DESLAURENTIDES;2015;7;18;PDQ2;;;;;;;;;
Collisionavecblesse;18/07/2015;18/07/2015;18/07/2015;2015;7;CE31;24;LVL150718017;5;07:50:00;24;18/07/2015;65005;3;2;421;QUE;;BOULEV;GOINEAU;;2015;7;18;PDQ2;2004;;AUTO;QUE;;DESJARDINS;CHRY;;Moyen
Collisionavecblesse;18/07/2015;19/07/2015;18/07/2015;2015;7;DH43;35;LVL150718056;2;17:39:00;35;19/07/2015;65005;1;1;965;QUE;;BOULEV;CURE-LABELLE;;2015;7;18;PDQ3;2004;;MOTO;QUE;;DESJARDINS;SUZU;;Moyen
Collisionavecblesse;17/07/2015;19/07/2015;17/07/2015;2015;7;AB19;38;LVL150717063;2;16:39:00;38;19/07/2015;65005;4;3;2160;QUE;;AVENUE;TERRY-FOX;;2015;7;17;PDQ3;2015;;AUTO;QUE;;INTACTASSURANCE;NISS;ROGU;Moyen
Collisionavecblesse;17/07/2015;19/07/2015;17/07/2015;2015;7;CE32;38;LVL150717063;2;16:39:00;38;19/07/2015;65005;4;3;2160;QUE;;AVENUE;TERRY-FOX;;2015;7;17;PDQ3;2014;;AUTO;QUE;;ECONOMICALMUTUALGAUDREAU;MERZ;SPRI;Moyen
Collisionavecblesse;17/07/2015;22/07/2015;17/07/2015;2015;7;DH44;26;LVL150717008;4;01:41:00;26;24/07/2015;65005;3;2;3990;QUE;;AUTORO;LAVALESTA-440;;2015;7;17;PDQ2;;;AUTO;QUE;;WAWANESSA;BMW;2014;Moyen
Collisionavecblesse;17/07/2015;22/07/2015;17/07/2015;2015;7;AB20;26;LVL150717008;4;01:41:00;26;24/07/2015;65005;3;2;3990;QUE;;AUTORO;LAVALESTA-440;;2015;7;17;PDQ2;2012;;AUTO;QUE;;INTACTASSURANCE;MITS;;Moyen
Collisionavecblesse;17/07/2015;18/07/2015;17/07/2015;2015;7;CE52;27;LVL150717005;4;;27;18/07/2015;65005;3;2;0;QUE;AVENUE;RUE;SAINT-JOSEPH;SUZANNE;2015;7;17;PDQ1;2007;;AUTO;QUE;;;NISS;;Moyen
